,Code
0,1301
1,1332
2,1333
3,1375
4,1376
5,1377
6,1379
7,1384
8,1414
9,1417
10,1419
11,1420
12,1429
13,1430
14,1433
15,1435
16,1446
17,1514
18,1515
19,1518
20,1605
21,1662
22,1663
23,1712
24,1716
25,1717
26,1719
27,1720
28,1721
29,1726
30,1762
31,1766
32,1768
33,1780
34,1786
35,1801
36,1802
37,1803
38,1805
39,1808
40,1810
41,1811
42,1812
43,1813
44,1814
45,1815
46,1820
47,1821
48,1822
49,1826
50,1827
51,1833
52,1835
53,1847
54,1848
55,1852
56,1860
57,1861
58,1866
59,1867
60,1870
61,1871
62,1873
63,1878
64,1879
65,1882
66,1884
67,1885
68,1887
69,1888
70,1890
71,1893
72,1898
73,1899
74,1909
75,1911
76,1914
77,1921
78,1925
79,1926
80,1928
81,1929
82,1930
83,1934
84,1938
85,1939
86,1941
87,1942
88,1944
89,1945
90,1946
91,1949
92,1950
93,1951
94,1952
95,1954
96,1959
97,1961
98,1963
99,1964
100,1967
101,1968
102,1969
103,1972
104,1973
105,1975
106,1976
107,1979
108,1980
109,1982
110,2001
111,2002
112,2003
113,2004
114,2009
115,2053
116,2060
117,2107
118,2108
119,2109
120,2112
121,2117
122,2120
123,2121
124,2124
125,2127
126,2130
127,2139
128,2146
129,2148
130,2153
131,2154
132,2157
133,2163
134,2168
135,2169
136,2170
137,2175
138,2180
139,2181
140,2183
141,2193
142,2196
143,2198
144,2201
145,2204
146,2206
147,2207
148,2209
149,2211
150,2212
151,2215
152,2217
153,2220
154,2222
155,2229
156,2264
157,2266
158,2267
159,2269
160,2270
161,2281
162,2282
163,2286
164,2288
165,2292
166,2294
167,2296
168,2301
169,2305
170,2307
171,2309
172,2311
173,2317
174,2325
175,2326
176,2327
177,2331
178,2335
179,2337
180,2353
181,2359
182,2371
183,2372
184,2374
185,2376
186,2378
187,2379
188,2384
189,2389
190,2395
191,2410
192,2412
193,2413
194,2418
195,2424
196,2427
197,2428
198,2429
199,2432
200,2433
201,2440
202,2445
203,2453
204,2461
205,2462
206,2464
207,2471
208,2475
209,2477
210,2485
211,2487
212,2489
213,2491
214,2492
215,2501
216,2502
217,2503
218,2531
219,2533
220,2540
221,2579
222,2587
223,2590
224,2593
225,2594
226,2597
227,2599
228,2602
229,2607
230,2612
231,2613
232,2651
233,2659
234,2664
235,2670
236,2674
237,2676
238,2678
239,2681
240,2685
241,2686
242,2687
243,2689
244,2692
245,2695
