,Code
0,AAPL
1,MSFT
2,AMZN
3,FB
4,GOOGL
5,GOOG
6,TSLA
7,BRK-B
8,JPM
9,JNJ
10,NVDA
11,V
12,PYPL
13,DIS
14,PG
15,UNH
16,HD
17,MA
18,BAC
19,INTC
20,NFLX
21,CMCSA
22,VZ
23,ADBE
24,CRM
25,ABT
26,XOM
27,T
28,KO
29,CSCO
30,AVGO
31,TMO
32,PFE
33,WMT
34,MRK
35,ABBV
36,PEP
37,CVX
38,NKE
39,ACN
40,QCOM
41,TXN
42,MCD
43,LLY
44,NEE
45,COST
46,MDT
47,WFC
48,DHR
49,HON
50,UNP
51,BMY
52,AMGN
53,PM
54,C
55,LIN
56,LOW
57,SBUX
58,ORCL
59,UPS
60,NOW
61,RTX
62,BA
63,INTU
64,CAT
65,IBM
66,MS
67,GS
68,AMD
69,AMAT
70,MMM
71,GE
72,AMT
73,BLK
74,MU
75,TGT
76,DE
77,CVS
78,BKNG
79,SCHW
80,ISRG
81,CHTR
82,AXP
83,FIS
84,LRCX
85,LMT
86,TJX
87,GILD
88,SPGI
89,MO
90,MDLZ
91,SYK
92,ZTS
93,ATVI
94,PLD
95,TFC
96,CB
97,CI
98,BDX
99,ADP
100,ANTM
101,TMUS
102,CCI
103,ILMN
104,PNC
105,CME
106,CSX
107,CL
108,USB
109,ADSK
110,DUK
111,GM
112,EL
113,FISV
114,COP
115,NSC
116,ICE
117,SO
118,FDX
119,EQIX
120,MMC
121,SHW
122,D
123,ADI
124,APD
125,GPN
126,TWTR
127,ITW
128,VRTX
129,BSX
130,COF
131,EW
132,ECL
133,AON
134,PGR
135,EMR
136,KLAC
137,HUM
138,REGN
139,ETN
140,DG
141,FCX
142,IDXX
143,NOC
144,HCA
145,NEM
146,MCO
147,KMB
148,F
149,WM
150,ROST
151,EA
152,ALGN
153,DOW
154,TEL
155,BIIB
156,MET
157,EXC
158,ROP
159,SNPS
160,EBAY
161,MCHP
162,CMG
163,APTV
164,JCI
165,BAX
166,CTSH
167,AEP
168,LHX
169,DXCM
170,APH
171,A
172,CDNS
173,DLR
174,STZ
175,SYY
176,GD
177,TRV
178,DD
179,AIG
180,HPQ
181,MSCI
182,TROW
183,IQV
184,TT
185,SRE
186,CMI
187,PSA
188,SLB
189,GIS
190,EOG
191,WBA
192,VIAC
193,MAR
194,PSX
195,SPG
196,INFO
197,PH
198,ALXN
199,BK
200,IFF
201,MNST
202,CNC
203,XLNX
204,ANSS
205,MPC
206,ORLY
207,CTVA
208,PCAR
209,XEL
210,ZBH
211,PRU
212,PPG
213,ALL
214,YUM
215,HLT
216,TDG
217,VRSK
218,SWKS
219,ADM
220,MSI
221,AFL
222,LUV
223,CTAS
224,CARR
225,PEG
226,BLL
227,PAYX
228,SBAC
229,AWK
230,RMD
231,KMI
232,WLTW
233,GLW
234,MCK
235,WELL
236,ROK
237,DAL
238,ES
239,FRC
240,AZO
241,DFS
242,VLO
243,SWK
244,KEYS
245,MTD
246,AME
247,ETSY
248,FAST
249,SIVB
250,WMB
251,BBY
252,PXD
253,STT
254,WEC
255,KR
256,DHI
257,OTIS
258,ZBRA
259,VFC
260,DLTR
261,MXIM
262,AMP
263,KHC
264,WY
